ID    Species    Bill Len   Bill Dep   Flipper Len     Mass       Sex     
66    Adelie     0.0        16.2       195.0           3350.0     FEMALE  
67    Adelie     0.0        19.1       188.0           4100.0     MALE    
68    Adelie     0.0        16.6       190.0           3050.0     FEMALE  
69    Adelie     0.0        19.4       198.0           4450.0     MALE    
70    Adelie     0.0        19.0       190.0           3600.0     FEMALE  
71    Adelie     0.0        18.4       190.0           3900.0     MALE    
72    Adelie     0.0        17.2       196.0           3550.0     FEMALE  
73    Adelie     0.0        18.9       197.0           4150.0     MALE    
74    Adelie     0.0        17.5       190.0           3700.0     FEMALE  
75    Adelie     0.0        18.5       195.0           4250.0     MALE    
76    Adelie     0.0        16.8       191.0           3700.0     FEMALE  
77    Adelie     0.0        19.4       184.0           3900.0     MALE    
78    Adelie     0.0        16.1       187.0           3550.0     FEMALE  
79    Adelie     0.0        19.1       195.0           4000.0     MALE    
80    Adelie     0.0        17.2       189.0           3200.0     FEMALE  
81    Adelie     0.0        17.6       196.0           4700.0     MALE    
82    Adelie     0.0        18.8       187.0           3800.0     FEMALE  
83    Adelie     0.0        19.4       193.0           4200.0     MALE    
84    Adelie     0.0        17.8       191.0           3350.0     FEMALE  
85    Adelie     0.0        20.3       194.0           3550.0     MALE    
86    Adelie     0.0        19.5       190.0           3800.0     MALE    
87    Adelie     0.0        18.6       189.0           3500.0     FEMALE  
88    Adelie     0.0        19.2       189.0           3950.0     MALE    
89    Adelie     0.0        18.8       190.0           3600.0     FEMALE  
90    Adelie     0.0        18.0       202.0           3550.0     FEMALE  
91    Adelie     0.0        18.1       205.0           4300.0     MALE    
92    Adelie     0.0        17.1       185.0           3400.0     FEMALE  
93    Adelie     0.0        18.1       186.0           4450.0     MALE    
94    Adelie     0.0        17.3       187.0           3300.0     FEMALE  
95    Adelie     0.0        18.9       208.0           4300.0     MALE    
96    Adelie     0.0        18.6       190.0           3700.0     FEMALE  
97    Adelie     0.0        18.5       196.0           4350.0     MALE    
98    Adelie     0.0        16.1       178.0           2900.0     FEMALE  
99    Adelie     0.0        18.5       192.0           4100.0     MALE    
100   Adelie     0.0        17.9       192.0           3725.0     FEMALE  
101   Adelie     0.0        20.0       203.0           4725.0     MALE    
102   Adelie     0.0        16.0       183.0           3075.0     FEMALE  
103   Adelie     0.0        20.0       190.0           4250.0     MALE    
104   Adelie     0.0        18.6       193.0           2925.0     FEMALE  
105   Adelie     0.0        18.9       184.0           3550.0     MALE    
106   Adelie     0.0        17.2       199.0           3750.0     FEMALE  
107   Adelie     0.0        20.0       190.0           3900.0     MALE    
108   Adelie     0.0        17.0       181.0           3175.0     FEMALE  
109   Adelie     0.0        19.0       197.0           4775.0     MALE    
110   Adelie     0.0        16.5       198.0           3825.0     FEMALE  
111   Adelie     0.0        20.3       191.0           4600.0     MALE    
112   Adelie     0.0        17.7       193.0           3200.0     FEMALE  
113   Adelie     0.0        19.5       197.0           4275.0     MALE    
114   Adelie     0.0        20.7       191.0           3900.0     FEMALE  
115   Adelie     0.0        18.3       196.0           4075.0     MALE    
116   Adelie     0.0        17.0       188.0           2900.0     FEMALE  
117   Adelie     0.0        20.5       199.0           3775.0     MALE    
118   Adelie     0.0        17.0       189.0           3350.0     FEMALE  
119   Adelie     0.0        18.6       189.0           3325.0     MALE    
120   Adelie     0.0        17.2       187.0           3150.0     FEMALE  
121   Adelie     0.0        19.8       198.0           3500.0     MALE    
122   Adelie     0.0        17.0       176.0           3450.0     FEMALE  
123   Adelie     0.0        18.5       202.0           3875.0     MALE    
124   Adelie     0.0        15.9       186.0           3050.0     FEMALE  
125   Adelie     0.0        19.0       199.0           4000.0     MALE    
126   Adelie     0.0        17.6       191.0           3275.0     FEMALE  
127   Adelie     0.0        18.3       195.0           4300.0     MALE    
128   Adelie     0.0        17.1       191.0           3050.0     FEMALE  
129   Adelie     0.0        18.0       210.0           4000.0     MALE    
130   Adelie     0.0        17.9       190.0           3325.0     FEMALE  
131   Adelie     0.0        19.2       197.0           3500.0     MALE    
132   Adelie     0.0        18.5       193.0           3500.0     FEMALE  
133   Adelie     0.0        18.5       199.0           4475.0     MALE    
134   Adelie     0.0        17.6       187.0           3425.0     FEMALE  
135   Adelie     0.0        17.5       190.0           3900.0     MALE    
136   Adelie     0.0        17.5       191.0           3175.0     FEMALE  
137   Adelie     0.0        20.1       200.0           3975.0     MALE    
138   Adelie     0.0        16.5       185.0           3400.0     FEMALE  
139   Adelie     0.0        17.9       193.0           4250.0     MALE    
140   Adelie     0.0        17.1       193.0           3400.0     FEMALE  
141   Adelie     0.0        17.2       187.0           3475.0     MALE    
142   Adelie     0.0        15.5       188.0           3050.0     FEMALE  
143   Adelie     0.0        17.0       190.0           3725.0     MALE    
144   Adelie     0.0        16.8       192.0           3000.0     FEMALE  
145   Adelie     0.0        18.7       185.0           3650.0     MALE    
146   Adelie     0.0        18.6       190.0           4250.0     MALE    
147   Adelie     0.0        18.4       184.0           3475.0     FEMALE  
148   Adelie     0.0        17.8       195.0           3450.0     FEMALE  
149   Adelie     0.0        18.1       193.0           3750.0     MALE    
150   Adelie     0.0        17.1       187.0           3700.0     FEMALE  
151   Adelie     0.0        18.5       201.0           4000.0     MALE    
152   Chinstrap  0.0        17.9       192.0           3500.0     FEMALE  
153   Chinstrap  0.0        19.5       196.0           3900.0     MALE    
154   Chinstrap  0.0        19.2       193.0           3650.0     MALE    
155   Chinstrap  0.0        18.7       188.0           3525.0     FEMALE  
156   Chinstrap  0.0        19.8       197.0           3725.0     MALE    
157   Chinstrap  0.0        17.8       198.0           3950.0     FEMALE  
158   Chinstrap  0.0        18.2       178.0           3250.0     FEMALE  
159   Chinstrap  0.0        18.2       197.0           3750.0     MALE    
160   Chinstrap  0.0        18.9       195.0           4150.0     FEMALE  
161   Chinstrap  0.0        19.9       198.0           3700.0     MALE    
162   Chinstrap  0.0        17.8       193.0           3800.0     FEMALE  
163   Chinstrap  0.0        20.3       194.0           3775.0     MALE    
164   Chinstrap  0.0        17.3       185.0           3700.0     FEMALE  
165   Chinstrap  0.0        18.1       201.0           4050.0     MALE    
166   Chinstrap  0.0        17.1       190.0           3575.0     FEMALE  
167   Chinstrap  0.0        19.6       201.0           4050.0     MALE    
168   Chinstrap  0.0        20.0       197.0           3300.0     MALE    
169   Chinstrap  0.0        17.8       181.0           3700.0     FEMALE  
170   Chinstrap  0.0        18.6       190.0           3450.0     FEMALE  
171   Chinstrap  0.0        18.2       195.0           4400.0     MALE    
172   Chinstrap  0.0        17.3       181.0           3600.0     FEMALE  
173   Chinstrap  0.0        17.5       191.0           3400.0     MALE    
174   Chinstrap  0.0        16.6       187.0           2900.0     FEMALE  
175   Chinstrap  0.0        19.4       193.0           3800.0     MALE    
176   Chinstrap  0.0        17.9       195.0           3300.0     FEMALE  
177   Chinstrap  0.0        19.0       197.0           4150.0     MALE    
178   Chinstrap  0.0        18.4       200.0           3400.0     FEMALE  
179   Chinstrap  0.0        19.0       200.0           3800.0     MALE    
180   Chinstrap  0.0        17.8       191.0           3700.0     FEMALE  
181   Chinstrap  0.0        20.0       205.0           4550.0     MALE    
182   Chinstrap  0.0        16.6       187.0           3200.0     FEMALE  
183   Chinstrap  0.0        20.8       201.0           4300.0     MALE    
184   Chinstrap  0.0        16.7       187.0           3350.0     FEMALE  
185   Chinstrap  0.0        18.8       203.0           4100.0     MALE    
186   Chinstrap  0.0        18.6       195.0           3600.0     MALE    
187   Chinstrap  0.0        16.8       199.0           3900.0     FEMALE  
188   Chinstrap  0.0        18.3       195.0           3850.0     FEMALE  
189   Chinstrap  0.0        20.7       210.0           4800.0     MALE    
190   Chinstrap  0.0        16.6       192.0           2700.0     FEMALE  
191   Chinstrap  0.0        19.9       205.0           4500.0     MALE    
192   Chinstrap  0.0        19.5       210.0           3950.0     MALE    
193   Chinstrap  0.0        17.5       187.0           3650.0     FEMALE  
194   Chinstrap  0.0        19.1       196.0           3550.0     MALE    
195   Chinstrap  0.0        17.0       196.0           3500.0     FEMALE  
196   Chinstrap  0.0        17.9       196.0           3675.0     FEMALE  
197   Chinstrap  0.0        18.5       201.0           4450.0     MALE    
198   Chinstrap  0.0        17.9       190.0           3400.0     FEMALE  
199   Chinstrap  0.0        19.6       212.0           4300.0     MALE    
200   Chinstrap  0.0        18.7       187.0           3250.0     MALE    
201   Chinstrap  0.0        17.3       198.0           3675.0     FEMALE  
202   Chinstrap  0.0        16.4       199.0           3325.0     FEMALE  
203   Chinstrap  0.0        19.0       201.0           3950.0     MALE    
204   Chinstrap  0.0        17.3       193.0           3600.0     FEMALE  
205   Chinstrap  0.0        19.7       203.0           4050.0     MALE    
206   Chinstrap  0.0        17.3       187.0           3350.0     FEMALE  
207   Chinstrap  0.0        18.8       197.0           3450.0     MALE    
208   Chinstrap  0.0        16.6       191.0           3250.0     FEMALE  
209   Chinstrap  0.0        19.9       203.0           4050.0     MALE    
210   Chinstrap  0.0        18.8       202.0           3800.0     MALE    
211   Chinstrap  0.0        19.4       194.0           3525.0     FEMALE  
212   Chinstrap  0.0        19.5       206.0           3950.0     MALE    
213   Chinstrap  0.0        16.5       189.0           3650.0     FEMALE  
214   Chinstrap  0.0        17.0       195.0           3650.0     FEMALE  
215   Chinstrap  0.0        19.8       207.0           4000.0     MALE    
216   Chinstrap  0.0        18.1       202.0           3400.0     FEMALE  
217   Chinstrap  0.0        18.2       193.0           3775.0     MALE    
218   Chinstrap  0.0        19.0       210.0           4100.0     MALE    
219   Chinstrap  0.0        18.7       198.0           3775.0     FEMALE  
220   Gentoo     0.0        13.2       211.0           4500.0     FEMALE  
221   Gentoo     0.0        16.3       230.0           5700.0     MALE    
222   Gentoo     0.0        14.1       210.0           4450.0     FEMALE  
223   Gentoo     0.0        15.2       218.0           5700.0     MALE    
224   Gentoo     0.0        14.5       215.0           5400.0     MALE    
225   Gentoo     0.0        13.5       210.0           4550.0     FEMALE  
226   Gentoo     0.0        14.6       211.0           4800.0     FEMALE  
227   Gentoo     0.0        15.3       219.0           5200.0     MALE    
228   Gentoo     0.0        13.4       209.0           4400.0     FEMALE  
229   Gentoo     0.0        15.4       215.0           5150.0     MALE    
230   Gentoo     0.0        13.7       214.0           4650.0     FEMALE  
231   Gentoo     0.0        16.1       216.0           5550.0     MALE    
232   Gentoo     0.0        13.7       214.0           4650.0     FEMALE  
233   Gentoo     0.0        14.6       213.0           5850.0     MALE    
234   Gentoo     0.0        14.6       210.0           4200.0     FEMALE  
235   Gentoo     0.0        15.7       217.0           5850.0     MALE    
236   Gentoo     0.0        13.5       210.0           4150.0     FEMALE  
237   Gentoo     0.0        15.2       221.0           6300.0     MALE    
238   Gentoo     0.0        14.5       209.0           4800.0     FEMALE  
239   Gentoo     0.0        15.1       222.0           5350.0     MALE    
240   Gentoo     0.0        14.3       218.0           5700.0     MALE    
241   Gentoo     0.0        14.5       215.0           5000.0     FEMALE  
242   Gentoo     0.0        14.5       213.0           4400.0     FEMALE  
243   Gentoo     0.0        15.8       215.0           5050.0     MALE    
244   Gentoo     0.0        13.1       215.0           5000.0     FEMALE  
245   Gentoo     0.0        15.1       215.0           5100.0     MALE    
246   Gentoo     0.0        14.3       216.0           4100.0     FEMALE  
247   Gentoo     0.0        15.0       215.0           5650.0     MALE    
248   Gentoo     0.0        14.3       210.0           4600.0     FEMALE  
249   Gentoo     0.0        15.3       220.0           5550.0     MALE    
250   Gentoo     0.0        15.3       222.0           5250.0     MALE    
251   Gentoo     0.0        14.2       209.0           4700.0     FEMALE  
252   Gentoo     0.0        14.5       207.0           5050.0     FEMALE  
253   Gentoo     0.0        17.0       230.0           6050.0     MALE    
254   Gentoo     0.0        14.8       220.0           5150.0     FEMALE  
255   Gentoo     0.0        16.3       220.0           5400.0     MALE    
256   Gentoo     0.0        13.7       213.0           4950.0     FEMALE  
257   Gentoo     0.0        17.3       219.0           5250.0     MALE    
258   Gentoo     0.0        13.6       208.0           4350.0     FEMALE  
259   Gentoo     0.0        15.7       208.0           5350.0     MALE    
260   Gentoo     0.0        13.7       208.0           3950.0     FEMALE  
261   Gentoo     0.0        16.0       225.0           5700.0     MALE    
262   Gentoo     0.0        13.7       210.0           4300.0     FEMALE  
263   Gentoo     0.0        15.0       216.0           4750.0     MALE    
264   Gentoo     0.0        15.9       222.0           5550.0     MALE    
265   Gentoo     0.0        13.9       217.0           4900.0     FEMALE  
266   Gentoo     0.0        13.9       210.0           4200.0     FEMALE  
267   Gentoo     0.0        15.9       225.0           5400.0     MALE    
268   Gentoo     0.0        13.3       213.0           5100.0     FEMALE  
269   Gentoo     0.0        15.8       215.0           5300.0     MALE    
270   Gentoo     0.0        14.2       210.0           4850.0     FEMALE  
271   Gentoo     0.0        14.1       220.0           5300.0     MALE    
272   Gentoo     0.0        14.4       210.0           4400.0     FEMALE  
273   Gentoo     0.0        15.0       225.0           5000.0     MALE    
274   Gentoo     0.0        14.4       217.0           4900.0     FEMALE  
275   Gentoo     0.0        15.4       220.0           5050.0     MALE    
276   Gentoo     0.0        13.9       208.0           4300.0     FEMALE  
277   Gentoo     0.0        15.0       220.0           5000.0     MALE    
278   Gentoo     0.0        14.5       208.0           4450.0     FEMALE  
279   Gentoo     0.0        15.3       224.0           5550.0     MALE    
280   Gentoo     0.0        13.8       208.0           4200.0     FEMALE  
281   Gentoo     0.0        14.9       221.0           5300.0     MALE    
282   Gentoo     0.0        13.9       214.0           4400.0     FEMALE  
283   Gentoo     0.0        15.7       231.0           5650.0     MALE    
284   Gentoo     0.0        14.2       219.0           4700.0     FEMALE  
285   Gentoo     0.0        16.8       230.0           5700.0     MALE    
286   Gentoo     0.0        14.4       214.0           4650.0     FEMALE  
287   Gentoo     0.0        16.2       229.0           5800.0     MALE    
288   Gentoo     0.0        14.2       220.0           4700.0     FEMALE  
289   Gentoo     0.0        15.0       223.0           5550.0     MALE    
290   Gentoo     0.0        15.0       216.0           4750.0     FEMALE  
291   Gentoo     0.0        15.6       221.0           5000.0     MALE    
292   Gentoo     0.0        15.6       221.0           5100.0     MALE    
293   Gentoo     0.0        14.8       217.0           5200.0     FEMALE  
294   Gentoo     0.0        15.0       216.0           4700.0     FEMALE  
295   Gentoo     0.0        16.0       230.0           5800.0     MALE    
296   Gentoo     0.0        14.2       209.0           4600.0     FEMALE  
297   Gentoo     0.0        16.3       220.0           6000.0     MALE    
298   Gentoo     0.0        13.8       215.0           4750.0     FEMALE  
299   Gentoo     0.0        16.4       223.0           5950.0     MALE    
300   Gentoo     0.0        14.5       212.0           4625.0     FEMALE  
301   Gentoo     0.0        15.6       221.0           5450.0     MALE    
302   Gentoo     0.0        14.6       212.0           4725.0     FEMALE  
303   Gentoo     0.0        15.9       224.0           5350.0     MALE    
304   Gentoo     0.0        13.8       212.0           4750.0     FEMALE  
305   Gentoo     0.0        17.3       228.0           5600.0     MALE    
306   Gentoo     0.0        14.4       218.0           4600.0     FEMALE  
307   Gentoo     0.0        14.2       218.0           5300.0     MALE    
308   Gentoo     0.0        14.0       212.0           4875.0     FEMALE  
309   Gentoo     0.0        17.0       230.0           5550.0     MALE    
310   Gentoo     0.0        15.0       218.0           4950.0     FEMALE  
311   Gentoo     0.0        17.1       228.0           5400.0     MALE    
312   Gentoo     0.0        14.5       212.0           4750.0     FEMALE  
313   Gentoo     0.0        16.1       224.0           5650.0     MALE    
314   Gentoo     0.0        14.7       214.0           4850.0     FEMALE  
315   Gentoo     0.0        15.7       226.0           5200.0     MALE    
316   Gentoo     0.0        15.8       216.0           4925.0     MALE    
317   Gentoo     0.0        14.6       222.0           4875.0     FEMALE  
318   Gentoo     0.0        14.4       203.0           4625.0     FEMALE  
319   Gentoo     0.0        16.5       225.0           5250.0     MALE    
320   Gentoo     0.0        15.0       219.0           4850.0     FEMALE  
321   Gentoo     0.0        17.0       228.0           5600.0     MALE    
322   Gentoo     0.0        15.5       215.0           4975.0     FEMALE  
323   Gentoo     0.0        15.0       228.0           5500.0     MALE    
324   Gentoo     0.0        13.8       216.0           4725.0     FEMALE  
325   Gentoo     0.0        16.1       215.0           5500.0     MALE    
326   Gentoo     0.0        14.7       210.0           4700.0     FEMALE  
327   Gentoo     0.0        15.8       219.0           5500.0     MALE    
328   Gentoo     0.0        14.0       208.0           4575.0     FEMALE  
329   Gentoo     0.0        15.1       209.0           5500.0     MALE    
330   Gentoo     0.0        15.2       216.0           5000.0     FEMALE  
331   Gentoo     0.0        15.9       229.0           5950.0     MALE    
332   Gentoo     0.0        15.2       213.0           4650.0     FEMALE  
333   Gentoo     0.0        16.3       230.0           5500.0     MALE    
334   Gentoo     0.0        14.1       217.0           4375.0     FEMALE  
335   Gentoo     0.0        16.0       230.0           5850.0     MALE    
336   Gentoo     0.0        15.7       217.0           4875.0     FEMALE  
337   Gentoo     0.0        16.2       222.0           6000.0     MALE    
338   Gentoo     0.0        13.7       214.0           4925.0     FEMALE  
339   Gentoo     0.0        14.3       215.0           4850.0     FEMALE  
340   Gentoo     0.0        15.7       222.0           5750.0     MALE    
341   Gentoo     0.0        14.8       212.0           5200.0     FEMALE  
342   Gentoo     0.0        16.1       213.0           5400.0     MALE    
